
2022-01-05 12:10:07, step=50, steptime=0.483, cls_loss=36.6, cls_loss_rt=8.61, loc_loss=8.39, loc_loss_rt=4.32, rpn_acc=0.95, prec@10=0.00347, rec@10=0.0928, prec@30=0.00276, rec@30=0.0524, prec@50=0.00294, rec@50=0.038, prec@70=0.00319, rec@70=0.0223, prec@80=0.00367, rec@80=0.0162, prec@90=0.00382, rec@90=0.00819, prec@95=0.00414, rec@95=0.00461, loss.loc_elem=[0.232, 0.162, 0.468, 0.25, 0.284, 0.196, 0.569], loss.cls_pos_rt=4.32, loss.cls_neg_rt=2.13, num_vox=15086, num_pos=48, num_neg=20227, num_anchors=20353, lr=0.0015, image_idx=[4789], eta=39:49:07
2022-01-05 12:10:30, step=100, steptime=0.45, cls_loss=22.3, cls_loss_rt=7.55, loc_loss=5.59, loc_loss_rt=1.97, rpn_acc=0.974, prec@10=0.00523, rec@10=0.071, prec@30=0.00275, rec@30=0.0263, prec@50=0.00294, rec@50=0.0191, prec@70=0.00319, rec@70=0.0112, prec@80=0.00367, rec@80=0.00814, prec@90=0.00382, rec@90=0.00411, prec@95=0.00414, rec@95=0.00231, loss.loc_elem=[0.0736, 0.06, 0.318, 0.083, 0.0936, 0.0849, 0.272], loss.cls_pos_rt=4.01, loss.cls_neg_rt=1.54, num_vox=11144, num_pos=69, num_neg=16037, num_anchors=16207, lr=0.0015, image_idx=[753], eta=37:04:19
2022-01-05 12:10:52, step=150, steptime=0.473, cls_loss=17.2, cls_loss_rt=7.41, loc_loss=4.39, loc_loss_rt=2.06, rpn_acc=0.981, prec@10=0.0127, rec@10=0.119, prec@30=0.00387, rec@30=0.0245, prec@50=0.00314, rec@50=0.0135, prec@70=0.00324, rec@70=0.00753, prec@80=0.00367, rec@80=0.00538, prec@90=0.00382, rec@90=0.00272, prec@95=0.00414, rec@95=0.00153, loss.loc_elem=[0.0866, 0.0744, 0.373, 0.0696, 0.0878, 0.0747, 0.261], loss.cls_pos_rt=4.46, loss.cls_neg_rt=0.719, num_vox=13914, num_pos=74, num_neg=13708, num_anchors=13870, lr=0.0015, image_idx=[2567], eta=38:59:24
2022-01-05 12:11:14, step=200, steptime=0.404, cls_loss=14.5, cls_loss_rt=6.17, loc_loss=3.74, loc_loss_rt=1.71, rpn_acc=0.985, prec@10=0.0226, rec@10=0.17, prec@30=0.00786, rec@30=0.0377, prec@50=0.00386, rec@50=0.0125, prec@70=0.00341, rec@70=0.00596, prec@80=0.00371, rec@80=0.00408, prec@90=0.00382, rec@90=0.00204, prec@95=0.00414, rec@95=0.00115, loss.loc_elem=[0.0319, 0.0258, 0.359, 0.0387, 0.126, 0.0622, 0.21], loss.cls_pos_rt=3.04, loss.cls_neg_rt=1.61, num_vox=9365, num_pos=62, num_neg=23886, num_anchors=24044, lr=0.0015, image_idx=[4217], eta=33:17:19
2022-01-05 12:11:36, step=250, steptime=0.469, cls_loss=12.8, cls_loss_rt=6.1, loc_loss=3.33, loc_loss_rt=1.46, rpn_acc=0.987, prec@10=0.0325, rec@10=0.209, prec@30=0.014, rec@30=0.0544, prec@50=0.00573, rec@50=0.0148, prec@70=0.00384, rec@70=0.00538, prec@80=0.0039, rec@80=0.00344, prec@90=0.00382, rec@90=0.00163, prec@95=0.00414, rec@95=0.000919, loss.loc_elem=[0.0387, 0.0414, 0.343, 0.0308, 0.0671, 0.0425, 0.165], loss.cls_pos_rt=3.38, loss.cls_neg_rt=1.03, num_vox=12434, num_pos=53, num_neg=21645, num_anchors=21780, lr=0.0015, image_idx=[6422], eta=38:39:53
2022-01-05 12:11:58, step=300, steptime=0.476, cls_loss=11.7, cls_loss_rt=5.47, loc_loss=3.03, loc_loss_rt=1.55, rpn_acc=0.989, prec@10=0.043, rec@10=0.246, prec@30=0.024, rec@30=0.0792, prec@50=0.0119, rec@50=0.0258, prec@70=0.00592, rec@70=0.0069, prec@80=0.00471, rec@80=0.00345, prec@90=0.00382, rec@90=0.00136, prec@95=0.00414, rec@95=0.000763, loss.loc_elem=[0.0444, 0.0254, 0.321, 0.069, 0.0625, 0.0607, 0.191], loss.cls_pos_rt=2.59, loss.cls_neg_rt=1.58, num_vox=12608, num_pos=42, num_neg=22182, num_anchors=22282, lr=0.0015, image_idx=[3612], eta=39:13:08
2022-01-05 12:12:20, step=350, steptime=0.43, cls_loss=10.8, cls_loss_rt=5.1, loc_loss=2.81, loc_loss_rt=1.71, rpn_acc=0.99, prec@10=0.0525, rec@10=0.274, prec@30=0.0331, rec@30=0.0956, prec@50=0.0181, rec@50=0.0339, prec@70=0.00973, rec@70=0.00973, prec@80=0.00689, rec@80=0.00432, prec@90=0.00453, rec@90=0.00138, prec@95=0.00414, rec@95=0.000652, loss.loc_elem=[0.0569, 0.0399, 0.296, 0.0751, 0.0806, 0.0714, 0.232], loss.cls_pos_rt=2.51, loss.cls_neg_rt=1.33, num_vox=16683, num_pos=67, num_neg=23349, num_anchors=23521, lr=0.0015, image_idx=[6358], eta=35:24:41
2022-01-05 12:12:42, step=400, steptime=0.404, cls_loss=10.2, cls_loss_rt=5.37, loc_loss=2.63, loc_loss_rt=1.42, rpn_acc=0.991, prec@10=0.0608, rec@10=0.296, prec@30=0.0422, rec@30=0.109, prec@50=0.0244, rec@50=0.0404, prec@70=0.0135, rec@70=0.0119, prec@80=0.00917, rec@80=0.00506, prec@90=0.00524, rec@90=0.0014, prec@95=0.0043, rec@95=0.000593, loss.loc_elem=[0.0692, 0.0199, 0.301, 0.0538, 0.0577, 0.0443, 0.163], loss.cls_pos_rt=3.03, loss.cls_neg_rt=0.831, num_vox=9864, num_pos=55, num_neg=8041, num_anchors=8177, lr=0.0015, image_idx=[7025], eta=33:17:11
2022-01-05 12:13:04, step=450, steptime=0.411, cls_loss=9.65, cls_loss_rt=5.81, loc_loss=2.49, loc_loss_rt=1.72, rpn_acc=0.992, prec@10=0.0698, rec@10=0.321, prec@30=0.0541, rec@30=0.128, prec@50=0.0348, rec@50=0.0522, prec@70=0.0217, rec@70=0.0172, prec@80=0.016, rec@80=0.00791, prec@90=0.00964, rec@90=0.0023, prec@95=0.00719, rec@95=0.000885, loss.loc_elem=[0.0679, 0.0521, 0.293, 0.0532, 0.072, 0.0572, 0.264], loss.cls_pos_rt=2.86, loss.cls_neg_rt=1.52, num_vox=11689, num_pos=69, num_neg=19170, num_anchors=19335, lr=0.0015, image_idx=[5407], eta=33:49:26
2022-01-05 12:13:26, step=500, steptime=0.471, cls_loss=9.23, cls_loss_rt=4.66, loc_loss=2.38, loc_loss_rt=1.12, rpn_acc=0.992, prec@10=0.0775, rec@10=0.34, prec@30=0.0655, rec@30=0.143, prec@50=0.0448, rec@50=0.0613, prec@70=0.0289, rec@70=0.0207, prec@80=0.0216, rec@80=0.00965, prec@90=0.0134, rec@90=0.00287, prec@95=0.00871, rec@95=0.000963, loss.loc_elem=[0.0268, 0.0217, 0.218, 0.0376, 0.0377, 0.0435, 0.175], loss.cls_pos_rt=2.5, loss.cls_neg_rt=0.905, num_vox=11730, num_pos=67, num_neg=12115, num_anchors=12283, lr=0.0015, image_idx=[5358], eta=38:45:00
2022-01-05 12:13:48, step=550, steptime=0.482, cls_loss=8.85, cls_loss_rt=5.3, loc_loss=2.27, loc_loss_rt=1.13, rpn_acc=0.992, prec@10=0.0854, rec@10=0.359, prec@30=0.0782, rec@30=0.16, prec@50=0.0576, rec@50=0.0731, prec@70=0.0402, rec@70=0.0266, prec@80=0.0309, rec@80=0.0127, prec@90=0.0181, rec@90=0.00355, prec@95=0.0119, rec@95=0.0012, loss.loc_elem=[0.0309, 0.0326, 0.212, 0.028, 0.057, 0.0639, 0.141], loss.cls_pos_rt=2.7, loss.cls_neg_rt=1.24, num_vox=12443, num_pos=64, num_neg=14086, num_anchors=14251, lr=0.0015, image_idx=[2555], eta=39:42:42
