
2022-01-05 21:54:02, step=50, steptime=0.462, cls_loss=3.28, cls_loss_rt=0.912, loc_loss=4.34, loc_loss_rt=2.05, rpn_acc=0.986, prec@10=0.00576, rec@10=0.463, prec@30=0.0029, rec@30=0.0184, prec@50=0.00323, rec@50=0.00906, prec@70=0.00343, rec@70=0.00362, prec@80=0.00411, rec@80=0.00247, prec@90=0.00309, rec@90=0.000823, prec@95=0.00257, rec@95=0.000329, loss.loc_elem=[0.0291, 0.0195, 0.525, 0.0262, 0.0754, 0.0261, 0.324], loss.cls_pos_rt=0.499, loss.cls_neg_rt=0.163, loss.dir_rt=0.693, num_vox=12181, num_pos=55, num_neg=15361, num_anchors=15513, lr=0.005, image_idx=[5203], eta=09:31:38
2022-01-05 21:54:27, step=100, steptime=0.516, cls_loss=2.09, cls_loss_rt=0.891, loc_loss=3.15, loc_loss_rt=1.51, rpn_acc=0.991, prec@10=0.00621, rec@10=0.506, prec@30=0.0029, rec@30=0.00941, prec@50=0.00323, rec@50=0.00462, prec@70=0.00343, rec@70=0.00185, prec@80=0.00411, rec@80=0.00126, prec@90=0.00309, rec@90=0.00042, prec@95=0.00257, rec@95=0.000168, loss.loc_elem=[0.0316, 0.0227, 0.295, 0.0167, 0.0593, 0.0405, 0.289], loss.cls_pos_rt=0.54, loss.cls_neg_rt=0.0817, loss.dir_rt=0.717, num_vox=12000, num_pos=59, num_neg=12922, num_anchors=13073, lr=0.00499, image_idx=[1788], eta=10:38:10
2022-01-05 21:54:51, step=150, steptime=0.528, cls_loss=1.68, cls_loss_rt=0.848, loc_loss=2.68, loc_loss_rt=2.39, rpn_acc=0.993, prec@10=0.00697, rec@10=0.544, prec@30=0.00289, rec@30=0.00633, prec@50=0.00323, rec@50=0.00311, prec@70=0.00343, rec@70=0.00124, prec@80=0.00411, rec@80=0.000848, prec@90=0.00309, rec@90=0.000283, prec@95=0.00257, rec@95=0.000113, loss.loc_elem=[0.0972, 0.106, 0.285, 0.17, 0.112, 0.132, 0.292], loss.cls_pos_rt=0.474, loss.cls_neg_rt=0.137, loss.dir_rt=0.684, num_vox=9146, num_pos=48, num_neg=6627, num_anchors=6741, lr=0.00499, image_idx=[1323], eta=10:52:20
2022-01-05 21:55:16, step=200, steptime=0.521, cls_loss=1.46, cls_loss_rt=0.726, loc_loss=2.36, loc_loss_rt=1.09, rpn_acc=0.994, prec@10=0.00802, rec@10=0.578, prec@30=0.00304, rec@30=0.00502, prec@50=0.00323, rec@50=0.00234, prec@70=0.00343, rec@70=0.000936, prec@80=0.00411, rec@80=0.000638, prec@90=0.00309, rec@90=0.000213, prec@95=0.00257, rec@95=8.51e-05, loss.loc_elem=[0.0295, 0.0184, 0.225, 0.0242, 0.0467, 0.04, 0.161], loss.cls_pos_rt=0.38, loss.cls_neg_rt=0.156, loss.dir_rt=0.673, num_vox=12519, num_pos=66, num_neg=13904, num_anchors=14078, lr=0.00499, image_idx=[6251], eta=10:42:40
2022-01-05 21:55:40, step=250, steptime=0.497, cls_loss=1.32, cls_loss_rt=0.728, loc_loss=2.13, loc_loss_rt=1.15, rpn_acc=0.994, prec@10=0.00917, rec@10=0.606, prec@30=0.00546, rec@30=0.0073, prec@50=0.00323, rec@50=0.00187, prec@70=0.00343, rec@70=0.000747, prec@80=0.00411, rec@80=0.000509, prec@90=0.00309, rec@90=0.00017, prec@95=0.00257, rec@95=6.79e-05, loss.loc_elem=[0.0332, 0.0155, 0.188, 0.0148, 0.0353, 0.0317, 0.255], loss.cls_pos_rt=0.36, loss.cls_neg_rt=0.189, loss.dir_rt=0.67, num_vox=12666, num_pos=62, num_neg=15459, num_anchors=15600, lr=0.00498, image_idx=[3374], eta=10:12:24
2022-01-05 21:56:05, step=300, steptime=0.49, cls_loss=1.22, cls_loss_rt=0.734, loc_loss=1.97, loc_loss_rt=1.06, rpn_acc=0.995, prec@10=0.0101, rec@10=0.628, prec@30=0.00817, rec@30=0.00921, prec@50=0.00323, rec@50=0.00155, prec@70=0.00343, rec@70=0.00062, prec@80=0.00411, rec@80=0.000422, prec@90=0.00309, rec@90=0.000141, prec@95=0.00257, rec@95=5.63e-05, loss.loc_elem=[0.0208, 0.0148, 0.215, 0.0137, 0.0574, 0.0241, 0.186], loss.cls_pos_rt=0.39, loss.cls_neg_rt=0.148, loss.dir_rt=0.684, num_vox=12741, num_pos=59, num_neg=11350, num_anchors=11494, lr=0.00498, image_idx=[3256], eta=10:03:59
2022-01-05 21:56:29, step=350, steptime=0.508, cls_loss=1.15, cls_loss_rt=0.856, loc_loss=1.87, loc_loss_rt=2.8, rpn_acc=0.995, prec@10=0.011, rec@10=0.643, prec@30=0.0111, rec@30=0.0109, prec@50=0.00323, rec@50=0.00133, prec@70=0.00343, rec@70=0.000531, prec@80=0.00411, rec@80=0.000362, prec@90=0.00309, rec@90=0.000121, prec@95=0.00257, rec@95=4.83e-05, loss.loc_elem=[0.175, 0.239, 0.449, 0.178, 0.0924, 0.119, 0.144], loss.cls_pos_rt=0.47, loss.cls_neg_rt=0.151, loss.dir_rt=0.747, num_vox=16104, num_pos=55, num_neg=19123, num_anchors=19252, lr=0.00498, image_idx=[968], eta=10:25:17
2022-01-05 21:56:54, step=400, steptime=0.523, cls_loss=1.09, cls_loss_rt=0.649, loc_loss=1.78, loc_loss_rt=1.0, rpn_acc=0.995, prec@10=0.0118, rec@10=0.658, prec@30=0.0168, rec@30=0.0147, prec@50=0.00328, rec@50=0.00118, prec@70=0.00343, rec@70=0.000464, prec@80=0.00411, rec@80=0.000316, prec@90=0.00309, rec@90=0.000105, prec@95=0.00257, rec@95=4.21e-05, loss.loc_elem=[0.0326, 0.0133, 0.177, 0.0234, 0.0578, 0.0352, 0.161], loss.cls_pos_rt=0.346, loss.cls_neg_rt=0.13, loss.dir_rt=0.675, num_vox=11845, num_pos=56, num_neg=13435, num_anchors=13580, lr=0.00498, image_idx=[1204], eta=10:43:41
2022-01-05 21:57:19, step=450, steptime=0.509, cls_loss=1.04, cls_loss_rt=0.63, loc_loss=1.7, loc_loss_rt=0.977, rpn_acc=0.995, prec@10=0.0126, rec@10=0.67, prec@30=0.0268, rec@30=0.0217, prec@50=0.00352, rec@50=0.00112, prec@70=0.00343, rec@70=0.000412, prec@80=0.00411, rec@80=0.000281, prec@90=0.00309, rec@90=9.36e-05, prec@95=0.00257, rec@95=3.74e-05, loss.loc_elem=[0.0213, 0.018, 0.229, 0.015, 0.0288, 0.0352, 0.142], loss.cls_pos_rt=0.357, loss.cls_neg_rt=0.0944, loss.dir_rt=0.678, num_vox=10872, num_pos=64, num_neg=13151, num_anchors=13301, lr=0.00497, image_idx=[3213], eta=10:25:43
2022-01-05 21:57:44, step=500, steptime=0.531, cls_loss=1.0, cls_loss_rt=0.628, loc_loss=1.63, loc_loss_rt=0.837, rpn_acc=0.995, prec@10=0.0131, rec@10=0.681, prec@30=0.0382, rec@30=0.0289, prec@50=0.00363, rec@50=0.00105, prec@70=0.00343, rec@70=0.000371, prec@80=0.00411, rec@80=0.000253, prec@90=0.00309, rec@90=8.43e-05, prec@95=0.00257, rec@95=3.37e-05, loss.loc_elem=[0.0126, 0.0189, 0.151, 0.0266, 0.0484, 0.0255, 0.135], loss.cls_pos_rt=0.321, loss.cls_neg_rt=0.146, loss.dir_rt=0.658, num_vox=13098, num_pos=62, num_neg=14729, num_anchors=14880, lr=0.00497, image_idx=[6642], eta=10:52:48
2022-01-05 21:58:08, step=550, steptime=0.496, cls_loss=0.971, cls_loss_rt=0.658, loc_loss=1.56, loc_loss_rt=0.716, rpn_acc=0.995, prec@10=0.0137, rec@10=0.69, prec@30=0.0517, rec@30=0.0372, prec@50=0.00387, rec@50=0.00101, prec@70=0.00343, rec@70=0.000337, prec@80=0.0041, rec@80=0.00023, prec@90=0.00309, rec@90=7.65e-05, prec@95=0.00257, rec@95=3.06e-05, loss.loc_elem=[0.0221, 0.0163, 0.129, 0.0179, 0.0399, 0.0255, 0.107], loss.cls_pos_rt=0.365, loss.cls_neg_rt=0.11, loss.dir_rt=0.695, num_vox=12427, num_pos=51, num_neg=12157, num_anchors=12305, lr=0.00497, image_idx=[5500], eta=10:09:14
